-65.000000, 0.000000
10:11, 13:49
-60.000000, 0.000000
09:02, 14:57
-55.000000, 0.000000
08:23, 15:36
-50.000000, 0.000000
07:56, 16:03
-45.000000, 0.000000
07:35, 16:24
-40.000000, 0.000000
07:19, 16:41
-35.000000, 0.000000
07:04, 16:55
-30.000000, 0.000000
06:52, 17:08
-25.000000, 0.000000
06:41, 17:19
-20.000000, 0.000000
06:31, 17:29
-15.000000, 0.000000
06:21, 17:38
-10.000000, 0.000000
06:12, 17:48
-5.000000, 0.000000
06:03, 17:56
0.000000, 0.000000
05:55, 18:05
5.000000, 0.000000
05:46, 18:14
10.000000, 0.000000
05:37, 18:23
15.000000, 0.000000
05:28, 18:32
20.000000, 0.000000
05:18, 18:42
25.000000, 0.000000
05:08, 18:52
30.000000, 0.000000
04:56, 19:04
35.000000, 0.000000
04:43, 19:17
40.000000, 0.000000
04:28, 19:32
45.000000, 0.000000
04:10, 19:50
50.000000, 0.000000
03:47, 20:12
55.000000, 0.000000
03:17, 20:43
60.000000, 0.000000
02:32, 21:27
65.000000, 0.000000
00:57, 23:02
